rollno,register_sem,schedule_sem,subno,grade1,date_of_entry1,grade2,date_of_entry2,sub_type
1801ME58,7,7,ME431,,7/23/2021 10:58,,7/23/2021 10:58,CORE
1901EE12,5,5,CS384,,3/24/2021 15:16,,3/24/2021 15:16,Open Elective
1801CE06,7,7,CE543,,7/24/2021 12:40,,7/24/2021 12:40,Department Elective - II
1901EE12,5,5,EE330,,3/24/2021 15:16,,3/24/2021 15:16,CORE
1801ME58,7,7,ME495,,7/23/2021 10:58,,7/23/2021 10:58,CORE
1901EE12,5,5,EE331,,3/24/2021 15:16,,3/24/2021 15:16,CORE
2012PH02,3,3,PH601,,3/22/2021 20:57,,3/22/2021 20:57,Elective - I
1901EE12,5,5,EE350,,3/24/2021 15:16,,3/24/2021 15:16,CORE
1801ME58,7,7,ME503,,7/23/2021 10:58,,7/23/2021 10:58,Department Elective - I
2001ME80,3,3,HS231,,7/24/2021 8:52,,7/24/2021 8:52,HSS Elective - I
2001ME80,3,3,MA201,,7/24/2021 8:52,,7/24/2021 8:52,CORE
2001ME80,3,3,ME207,,7/24/2021 8:52,,7/24/2021 8:52,CORE
2001ME80,3,3,ME209,,7/24/2021 8:52,,7/24/2021 8:52,CORE
2001ME80,3,3,ME231,,7/24/2021 8:52,,7/24/2021 8:52,CORE
2001ME81,3,3,HS201,,7/24/2021 14:38,,7/24/2021 14:38,HSS Elective - I
2001ME81,3,3,MA201,,7/24/2021 14:38,,7/24/2021 14:38,CORE
2001ME81,3,3,ME207,,7/24/2021 14:38,,7/24/2021 14:38,CORE
2001ME81,3,3,ME209,,7/24/2021 14:38,,7/24/2021 14:38,CORE
2001ME81,3,3,ME231,,7/24/2021 14:38,,7/24/2021 14:38,CORE
1901EE14,5,5,EE350,,3/23/2021 20:46,,3/23/2021 20:46,CORE
1801ME59,7,7,HS451,,7/26/2021 10:40,,7/26/2021 10:40,Open Elective - III
1901EE14,5,5,EE370,,3/23/2021 20:46,,3/23/2021 20:46,CORE
2012PH01,3,3,PH527,,3/25/2021 2:32,,3/25/2021 2:32,CORE
1901EE14,5,5,EE372,,3/23/2021 20:46,,3/23/2021 20:46,CORE
2001ME83,3,3,HS231,,7/23/2021 18:46,,7/23/2021 18:46,HSS Elective - I
2001ME83,3,3,MA201,,7/23/2021 18:46,,7/23/2021 18:46,CORE
2001ME83,3,3,ME207,,7/23/2021 18:46,,7/23/2021 18:46,CORE
2001ME83,3,3,ME209,,7/23/2021 18:46,,7/23/2021 18:46,CORE
2001ME83,3,3,ME231,,7/23/2021 18:46,,7/23/2021 18:46,CORE
1901EE15,5,5,CS384,,3/25/2021 23:44,,3/25/2021 23:44,Open Elective
2012MA24,3,3,MA529,,3/22/2021 10:22,,3/22/2021 10:22,Elective - II
1901EE15,5,5,EE330,,3/25/2021 23:44,,3/25/2021 23:44,CORE
1801ME59,7,7,ME504,,7/26/2021 10:40,,7/26/2021 10:40,Department Elective - I
1901EE15,5,5,EE331,,3/25/2021 23:44,,3/25/2021 23:44,CORE
2012MA23,3,3,MA533,,3/22/2021 15:32,,3/22/2021 15:32,Elective - II
1901EE15,5,5,EE350,,3/25/2021 23:44,,3/25/2021 23:44,CORE
1801ME59,7,7,ME512,,7/26/2021 10:40,,7/26/2021 10:40,Department Elective - II
1901EE15,5,5,EE370,,3/25/2021 23:44,,3/25/2021 23:44,CORE
2012MA23,3,3,MA521,,3/22/2021 15:32,,3/22/2021 15:32,CORE
2001MM04,3,3,HS201,,7/23/2021 17:08,,7/23/2021 17:08,HSS Elective - I
2001MM04,3,3,MA201,,7/23/2021 17:08,,7/23/2021 17:08,CORE
2001MM04,3,3,MM201,,7/23/2021 17:08,,7/23/2021 17:08,CORE
2001MM04,3,3,MM203,,7/23/2021 17:08,,7/23/2021 17:08,CORE
2001MM04,3,3,MM205,,7/23/2021 17:08,,7/23/2021 17:08,CORE
1901EE16,5,5,CS384,,3/22/2021 10:40,,3/22/2021 10:40,Open Elective
1901EE16,5,5,EE330,,3/22/2021 10:40,,3/22/2021 10:40,CORE
2012MA22,3,3,MA525,,3/23/2021 21:53,,3/23/2021 21:53,CORE
1901EE16,5,5,EE331,,3/22/2021 10:40,,3/22/2021 10:40,CORE
1801ME60,7,7,ME503,,7/23/2021 11:13,,7/23/2021 11:13,Department Elective - I
1901EE16,5,5,EE350,,3/22/2021 10:40,,3/22/2021 10:40,CORE
2012MA21,3,3,MA525,,3/23/2021 17:44,,3/23/2021 17:44,CORE
1901EE16,5,5,EE370,,3/22/2021 10:40,,3/22/2021 10:40,CORE
1801ME60,7,7,ME512,,7/23/2021 11:13,,7/23/2021 11:13,Department Elective - II
1901EE16,5,5,EE372,,3/22/2021 10:40,,3/22/2021 10:40,CORE
2001MM13,3,3,HS201,,7/23/2021 17:22,,7/23/2021 17:22,HSS Elective - I
2001MM13,3,3,MA201,,7/23/2021 17:22,,7/23/2021 17:22,CORE
2001MM13,3,3,MM201,,7/23/2021 17:22,,7/23/2021 17:22,CORE
2001MM13,3,3,MM203,,7/23/2021 17:22,,7/23/2021 17:22,CORE
2001MM13,3,3,MM205,,7/23/2021 17:22,,7/23/2021 17:22,CORE
1901EE17,5,5,EE330,,3/22/2021 12:30,,3/22/2021 12:30,CORE
1801ME61,7,7,ME431,,7/23/2021 1:59,,7/23/2021 1:59,CORE
1901EE17,5,5,EE331,,3/22/2021 12:30,,3/22/2021 12:30,CORE
2012MA20,3,3,MA523,,3/24/2021 18:48,,3/24/2021 18:48,CORE
1901EE17,5,5,EE350,,3/22/2021 12:30,,3/22/2021 12:30,CORE
1801ME61,7,7,ME495,,7/23/2021 1:59,,7/23/2021 1:59,CORE
1901EE17,5,5,EE370,,3/22/2021 12:30,,3/22/2021 12:30,CORE
1801CE06,7,7,CE571,,7/24/2021 12:40,,7/24/2021 12:40,Department Elective - III
1901EE17,5,5,EE372,,3/22/2021 12:30,,3/22/2021 12:30,CORE
1801ME61,7,7,ME503,,7/23/2021 1:59,,7/23/2021 1:59,Department Elective - I
1901EE17,5,5,EE381,,3/22/2021 12:30,,3/22/2021 12:30,CORE
2012MA18,3,3,MA529,,3/22/2021 21:27,,3/22/2021 21:27,Elective - I
1901EE18,5,5,CS384,,3/22/2021 21:59,,3/22/2021 21:59,Open Elective
1801ME61,7,7,ME512,,7/23/2021 1:59,,7/23/2021 1:59,Department Elective - II
1901EE18,5,5,EE330,,3/22/2021 21:59,,3/22/2021 21:59,CORE
2012MA18,3,3,MA521,,3/22/2021 21:27,,3/22/2021 21:27,CORE
1901EE18,5,5,EE331,,3/22/2021 21:59,,3/22/2021 21:59,CORE
1801ME61,7,7,PH401,,7/23/2021 1:59,,7/23/2021 1:59,Open Elective - III
1901EE18,5,5,EE350,,3/22/2021 21:59,,3/22/2021 21:59,CORE
2012MA17,3,3,MA525,,3/25/2021 19:23,,3/25/2021 19:23,CORE
2001MM29,3,3,HS201,,7/23/2021 16:45,,7/23/2021 16:45,HSS Elective - I
2001MM29,3,3,MA201,,7/23/2021 16:45,,7/23/2021 16:45,CORE
2001MM29,3,3,MM201,,7/23/2021 16:45,,7/23/2021 16:45,CORE
