rollno,register_sem,schedule_sem,subno,grade1,date_of_entry1,grade2,date_of_entry2,sub_type
2001CE64,3,3,CE293,,7/25/2021 20:09,,7/25/2021 20:09,CORE
2001CE64,3,3,CE291,,7/25/2021 20:09,,7/25/2021 20:09,CORE
2001CE64,3,3,CE213,,7/25/2021 20:09,,7/25/2021 20:09,CORE
2001CE64,3,3,CE211,,7/25/2021 20:09,,7/25/2021 20:09,CORE
2001CE64,3,3,CE203,,7/25/2021 20:09,,7/25/2021 20:09,CORE
1801CE28,7,7,CE571,,7/23/2021 19:42,,7/23/2021 19:42,Department Elective - III
1801CE28,7,7,CE549,,7/23/2021 19:42,,7/23/2021 19:42,Department Elective - I
1801CE28,7,7,CE543,,7/23/2021 19:42,,7/23/2021 19:42,Department Elective - II
2001CE51,3,3,MA201,,7/26/2021 11:04,,7/26/2021 11:04,CORE
2001CE51,3,3,HS231,,7/26/2021 11:04,,7/26/2021 11:04,HSS Elective - I
2001CE51,3,3,CE293,,7/26/2021 11:04,,7/26/2021 11:04,CORE
2001CE51,3,3,CE291,,7/26/2021 11:04,,7/26/2021 11:04,CORE
2001CE51,3,3,CE213,,7/26/2021 11:04,,7/26/2021 11:04,CORE
2001CE51,3,3,CE211,,7/26/2021 11:04,,7/26/2021 11:04,CORE
2001CE51,3,3,CE203,,7/26/2021 11:04,,7/26/2021 11:04,CORE
1801CE28,7,7,CE495,,7/23/2021 19:42,,7/23/2021 19:42,CORE
1801CE28,7,7,CE491,,7/23/2021 19:42,,7/23/2021 19:42,CORE
2001CE45,3,3,MA201,,7/26/2021 15:05,,7/26/2021 15:05,CORE
2001CE45,3,3,HS201,,7/26/2021 15:05,,7/26/2021 15:05,HSS Elective - I
2001CE45,3,3,CE293,,7/26/2021 15:05,,7/26/2021 15:05,CORE
2001CE45,3,3,CE291,,7/26/2021 15:05,,7/26/2021 15:05,CORE
2001CE45,3,3,CE213,,7/26/2021 15:05,,7/26/2021 15:05,CORE
2001CE45,3,3,CE211,,7/26/2021 15:05,,7/26/2021 15:05,CORE
2001CE45,3,3,CE203,,7/26/2021 15:05,,7/26/2021 15:05,CORE
2001CE38,3,3,MA201,,7/26/2021 14:03,,7/26/2021 14:03,CORE
2001CE38,3,3,HS201,,7/26/2021 14:03,,7/26/2021 14:03,HSS Elective - I
2001CE38,3,3,CE293,,7/26/2021 14:03,,7/26/2021 14:03,CORE
2001CE38,3,3,CE291,,7/26/2021 14:03,,7/26/2021 14:03,CORE
2001CE38,3,3,CE213,,7/26/2021 14:03,,7/26/2021 14:03,CORE
2001CE38,3,3,CE211,,7/26/2021 14:03,,7/26/2021 14:03,CORE
2001CE38,3,3,CE203,,7/26/2021 14:03,,7/26/2021 14:03,CORE
2001CE30,3,3,MA201,,7/25/2021 17:09,,7/25/2021 17:09,CORE
